event_date,early_close,close_time
2010-01-01,f,1600
2010-01-18,f,1600
2010-02-15,f,1600
2010-04-02,f,1600
2010-05-31,f,1600
2010-07-05,f,1600
2010-09-06,f,1600
2010-11-25,f,1600
2010-12-24,f,1600
2011-01-17,f,1600
2011-02-21,f,1600
2011-04-22,f,1600
2011-05-30,f,1600
2011-07-04,f,1600
2011-09-05,f,1600
2011-11-24,f,1600
2011-12-26,f,1600
2012-01-02,f,1600
2012-01-16,f,1600
2012-02-20,f,1600
2012-04-06,f,1600
2012-05-28,f,1600
2012-07-04,f,1600
2012-09-03,f,1600
2012-10-29,f,1600
2012-10-30,f,1600
2012-11-22,f,1600
2012-12-25,f,1600
2013-01-01,f,1600
2013-01-21,f,1600
2013-02-18,f,1600
2013-03-29,f,1600
2013-05-27,f,1600
2013-07-04,f,1600
2013-09-02,f,1600
2013-11-28,f,1600
2013-12-25,f,1600
2014-01-01,f,1600
2014-01-20,f,1600
2014-02-17,f,1600
2014-04-18,f,1600
2014-05-26,f,1600
2014-07-04,f,1600
2014-09-01,f,1600
2014-11-27,f,1600
2014-12-25,f,1600
2015-01-01,f,1600
2015-01-19,f,1600
2015-02-16,f,1600
2015-04-03,f,1600
2015-05-25,f,1600
2015-07-03,f,1600
2015-09-07,f,1600
2015-11-26,f,1600
2015-12-25,f,1600
2016-01-01,f,1600
2016-01-18,f,1600
2016-02-15,f,1600
2016-03-25,f,1600
2016-05-30,f,1600
2016-07-04,f,1600
2016-09-05,f,1600
2016-11-24,f,1600
2016-12-26,f,1600
2017-01-02,f,1600
2017-01-16,f,1600
2017-02-20,f,1600
2017-04-14,f,1600
2017-05-29,f,1600
2017-07-04,f,1600
2017-09-04,f,1600
2017-11-23,f,1600
2017-12-25,f,1600
2018-01-01,f,1600
2018-01-15,f,1600
2018-02-19,f,1600
2018-03-30,f,1600
2018-05-28,f,1600
2018-07-04,f,1600
2018-09-03,f,1600
2018-11-22,f,1600
2018-12-05,f,1600
2018-12-25,f,1600
2019-01-01,f,1600
2019-01-21,f,1600
2019-02-18,f,1600
2019-04-19,f,1600
2019-05-27,f,1600
2019-07-04,f,1600
2019-09-02,f,1600
2019-11-28,f,1600
2019-12-25,f,1600
2020-01-01,f,1600
2020-01-20,f,1600
2020-02-17,f,1600
2020-04-10,f,1600
2020-05-25,f,1600
2020-07-03,f,1600
2020-09-07,f,1600
2020-11-26,f,1600
2020-12-25,f,1600
2021-01-01,f,1600
2021-01-18,f,1600
2021-02-15,f,1600
2021-04-02,f,1600
2021-05-31,f,1600
2021-07-05,f,1600
2021-09-06,f,1600
2021-11-25,f,1600
2021-12-24,f,1600
2022-01-17,f,1600
2022-02-21,f,1600
2022-04-15,f,1600
2022-05-30,f,1600
2022-06-20,f,1600
2022-07-04,f,1600
2022-09-05,f,1600
2022-11-24,f,1600
2022-11-25,t,1300
2022-12-26,f,1600
