event_date,ticker,dividend,split_factor
1989-12-22,PRIDX,0.2300,1.000000
1990-01-25,PRIDX,0.1400,1.000000
1990-12-21,PRIDX,0.2800,1.000000
1991-12-23,PRIDX,0.1300,1.000000
1992-12-23,PRIDX,0.1300,1.000000
1993-12-22,PRIDX,0.0900,1.000000
1994-12-28,PRIDX,0.9300,1.000000
1995-12-27,PRIDX,0.1200,1.000000
1996-12-27,PRIDX,0.1300,1.000000
1997-12-29,PRIDX,0.2500,1.000000
1998-12-16,PRIDX,0.3100,1.000000
1999-12-15,PRIDX,2.8100,1.000000
2000-12-13,PRIDX,5.8300,1.000000
2003-12-17,PRIDX,0.1400,1.000000
2004-12-14,PRIDX,0.0400,1.000000
2005-12-13,PRIDX,0.3600,1.000000
2006-12-19,PRIDX,5.2200,1.000000
2007-12-18,PRIDX,6.2900,1.000000
2008-12-16,PRIDX,0.3700,1.000000
2009-12-16,PRIDX,0.5400,1.000000
2010-12-16,PRIDX,0.6000,1.000000
2011-06-28,PRIDX,0.0200,1.000000
2011-12-16,PRIDX,0.3800,1.000000
2012-12-18,PRIDX,0.9000,1.000000
2013-12-17,PRIDX,1.5400,1.000000
2014-12-16,PRIDX,3.8300,1.000000
2015-12-16,PRIDX,2.7000,1.000000
2016-06-28,PRIDX,0.0500,1.000000
2016-12-16,PRIDX,0.9100,1.000000
2017-12-18,PRIDX,2.2200,1.000000
2018-12-17,PRIDX,3.4400,1.000000
2019-12-17,PRIDX,1.0100,1.000000
2020-12-16,PRIDX,3.9000,1.000000
2021-12-16,PRIDX,12.9200,1.000000
